User Selection,Task Size,Offloading Ratio,Delay,UAV Hover Location X,UAV Hover Location Y
0,2508858,0.24,9.55,0.00,100.00
0,2370268,0.98,2.19,100.00,0.00
1,2241438,0.09,10.16,100.00,100.00
1,2355054,0.23,9.08,100.00,100.00
1,2502439,0.91,2.66,0.00,0.00
2,2252475,0.73,3.00,0.00,0.00
1,2565566,0.50,6.38,100.00,100.00
1,2429680,0.67,3.95,100.00,0.00
0,2109356,0.72,2.96,0.00,0.00
0,2560704,0.50,6.36,100.00,100.00
1,2113968,0.67,3.46,100.00,100.00
2,2565328,0.88,2.57,0.00,100.00
0,2456924,0.38,7.63,0.00,0.00
2,2582665,0.37,8.13,0.00,0.00
1,2161841,0.89,2.27,0.00,100.00
1,2434236,0.54,5.55,0.00,0.00
1,2110217,0.46,5.75,0.00,0.00
0,2241725,0.26,8.26,100.00,100.00
0,2438812,0.43,6.97,100.00,100.00
0,2326835,0.64,4.14,100.00,0.00
1,2429260,0.17,10.03,0.00,0.00
0,2121624,0.57,4.60,0.00,100.00
0,2319402,0.87,1.88,100.00,0.00
0,2393223,0.94,2.13,0.00,100.00
2,2509601,0.49,6.42,0.00,0.00
1,2602582,0.71,3.77,100.00,0.00
0,2496157,0.22,9.76,100.00,0.00
2,2173551,0.41,6.40,100.00,0.00
0,2159359,0.24,8.21,100.00,100.00
2,2504865,0.24,9.48,100.00,100.00
0,2245016,0.85,2.29,0.00,0.00
2,2266598,0.44,6.31,0.00,0.00
2,2172457,0.84,1.72,100.00,100.00
1,2419669,0.19,9.76,0.00,0.00
2,2108194,0.11,9.39,5.71,0.00
2,2349711,0.88,2.34,0.00,0.00
0,2498041,0.93,2.19,100.00,100.00
0,2445384,0.06,11.46,17.62,100.00
0,2580832,0.64,4.61,100.00,0.00
0,2115855,0.82,2.11,100.00,100.00
1,2617727,0.34,8.65,0.00,0.00
2,2396700,0.22,9.29,0.00,100.00
3,2507549,0.14,10.74,100.00,100.00
2,2285021,0.59,4.63,100.00,100.00
0,2530171,0.77,2.89,100.00,100.00
2,2216792,0.23,8.56,0.00,0.00
0,2345977,0.98,2.15,0.00,100.00
1,2344868,0.66,4.01,0.00,0.00
2,2407623,0.32,8.15,100.00,0.00
1,2450494,0.23,9.42,100.00,100.00
2,2435175,0.68,3.85,100.00,100.00
0,2114975,0.43,6.03,0.00,0.00
2,2376196,0.86,2.30,0.00,0.00
0,2242257,0.28,8.05,100.00,100.00
2,2295542,0.12,10.04,100.00,0.00
1,2298428,0.11,10.19,100.00,0.00
0,2156271,0.55,4.84,0.00,0.00
1,2513221,0.09,11.45,0.00,0.00
0,2522352,0.64,4.49,100.00,97.87
2,2116580,0.33,7.10,0.00,0.00
1,2239380,0.18,9.15,100.00,100.00
1,2544401,0.03,12.38,0.00,0.00
0,2585666,0.00,12.93,0.00,100.00
0,2492244,1.00,2.34,0.00,100.00
0,2450243,0.68,3.92,0.00,100.00
0,2564964,0.53,6.03,10.73,100.00
1,2203432,1.00,2.08,0.00,0.00
2,2291054,0.18,9.45,100.00,100.00
1,2552440,0.82,2.43,100.00,0.00
2,2515656,0.72,3.48,0.00,0.00
0,2576782,0.96,2.31,100.00,100.00
1,2426294,0.75,3.04,0.00,100.00
2,2142905,0.49,5.42,0.00,100.00
1,2226540,0.57,4.78,0.00,0.00
0,2382447,0.85,1.88,100.00,100.00
2,2514161,0.12,11.08,0.00,0.00
0,2113175,0.74,2.80,100.00,100.00
0,2312089,0.38,7.21,0.00,0.00
2,2119943,0.22,8.31,0.00,100.00
1,2293592,0.32,7.79,100.00,100.00
2,2490616,0.91,2.11,100.00,100.00
2,2562641,0.34,8.41,100.00,0.00
1,2320611,0.46,6.23,0.00,100.00
1,2151769,1.00,2.03,100.00,100.00
0,2176423,0.19,8.77,100.00,0.00
2,2399602,0.84,1.90,0.00,100.00
2,2329232,0.79,2.44,100.00,0.00
0,2531571,0.59,5.18,0.00,0.00
2,2459346,0.43,7.01,0.00,100.00
2,2509464,0.86,2.05,0.00,100.00
1,2524758,0.40,7.57,0.00,0.00
0,2312733,0.38,7.18,0.00,0.00
0,2336036,0.76,2.84,0.00,0.00
2,2572122,0.46,6.98,100.00,0.00
1,2264794,0.45,6.22,0.00,0.00
0,2329372,0.18,9.55,0.00,0.00
1,2179113,0.48,5.62,100.00,0.00
2,2405108,0.37,7.63,0.00,100.00
1,2190870,0.00,10.95,0.00,100.00
0,2194457,0.17,9.14,0.00,100.00
2,2490008,0.57,5.30,0.00,0.00
2,2297613,1.00,2.67,0.00,100.00
1,2101402,0.67,3.48,100.00,100.00
1,2374562,0.06,11.18,100.00,100.00
1,2239547,0.09,10.23,0.00,100.00
1,2552687,0.92,2.74,100.00,100.00
0,2279104,0.74,2.94,100.00,100.00
0,2200461,0.45,6.03,0.00,0.00
0,2290284,0.47,6.07,0.00,100.00
0,2377958,0.00,11.89,0.00,90.79
0,2619306,0.14,11.30,100.00,90.79
0,2196488,0.00,10.98,100.00,100.00
0,2287731,0.06,10.75,100.00,100.00
0,2525335,0.00,12.63,100.00,0.00
0,2224657,0.04,10.70,100.00,0.00
0,2416073,0.00,12.08,100.00,0.00
0,2198120,0.03,10.61,0.00,0.00
0,2278931,0.00,11.39,100.00,0.00
0,2575426,0.00,12.88,100.00,0.00
0,2568169,0.00,12.83,100.00,0.00
0,2498087,0.05,11.84,0.00,100.00
0,2172981,0.03,10.53,100.00,100.00
0,2614654,0.00,13.07,100.00,100.00
0,2301121,0.00,11.51,100.00,0.00
0,2375199,0.04,11.45,100.00,0.00
0,2222294,0.00,11.11,100.00,0.00
0,2205315,0.00,11.03,100.00,0.00
0,2156848,0.02,10.61,100.00,100.00
0,2472414,0.07,11.50,100.00,100.00
0,2100658,0.00,10.50,100.00,100.00
0,2326195,0.07,10.86,100.00,100.00
0,2264882,0.00,11.32,100.00,100.00
0,2438449,0.12,10.75,100.00,100.00
0,2527098,0.00,12.64,100.00,100.00
0,2361402,0.00,11.81,100.00,100.00
0,2521034,0.03,12.18,0.00,0.00
0,2568775,0.02,12.63,100.00,0.00
0,2190947,0.02,10.69,100.00,0.00
0,2294421,0.00,11.47,100.00,0.00
0,2298483,0.00,11.49,100.00,100.00
0,2220669,0.00,11.10,100.00,100.00
0,2404908,0.07,11.24,0.00,0.00
0,2350660,0.02,11.52,100.00,0.00
0,2382698,0.01,11.74,100.00,0.00
0,2486120,0.00,12.43,100.00,0.00
0,2174961,0.04,10.49,100.00,0.00
0,2451886,0.00,12.26,100.00,0.00
0,2496190,0.11,11.05,100.00,0.00
0,2317216,0.00,11.58,100.00,0.00
0,2279188,0.00,11.40,100.00,0.00
0,2334848,0.01,11.50,0.00,100.00
0,2536772,0.00,12.68,100.00,0.00
0,2173118,0.00,10.87,100.00,0.00
0,2459894,0.00,12.30,100.00,0.00
0,2345282,0.00,11.73,100.00,100.00
0,2543237,0.12,11.22,100.00,100.00
0,2505463,0.05,11.92,100.00,100.00
0,2236886,0.04,10.77,100.00,0.00
0,2491205,0.00,12.46,100.00,100.00
0,2486335,0.00,12.43,100.00,100.00
0,2580070,0.03,12.49,100.00,100.00
0,2481209,0.00,12.39,0.00,0.00
0,2472377,0.00,12.36,100.00,100.00
0,2558406,0.04,12.23,0.00,0.00
0,2338686,0.04,11.21,100.00,0.00
0,2345760,0.03,11.33,0.00,100.00
0,2134339,0.00,10.67,0.00,100.00
0,2219968,0.00,11.10,100.00,0.00
0,2285645,0.00,11.43,100.00,0.00
0,2560320,0.02,12.58,0.00,0.00
0,2336121,0.00,11.68,0.00,100.00
0,2218188,0.02,10.84,100.00,100.00
0,2274431,0.00,11.37,100.00,100.00
0,2201879,0.04,10.56,100.00,100.00
0,2121821,0.03,10.34,100.00,100.00
0,2329223,0.00,11.65,100.00,100.00
0,2595657,0.08,11.94,100.00,100.00
0,2458431,0.02,12.03,100.00,100.00
0,2425513,0.00,12.13,100.00,100.00
0,2111180,0.06,9.92,100.00,100.00
0,2558303,0.00,12.79,100.00,0.00
0,2326623,0.06,10.94,0.00,100.00
0,2486054,0.09,11.32,100.00,100.00
0,2469343,0.00,12.35,100.00,100.00
0,2278784,0.02,11.13,100.00,100.00
0,2523084,0.00,12.62,100.00,100.00
0,2164631,0.03,10.54,0.00,100.00
0,2381663,0.06,11.15,100.00,100.00
0,2368644,0.02,11.55,100.00,100.00
0,2553801,0.01,12.70,100.00,100.00
0,2222633,0.00,11.08,100.00,100.00
0,2133342,0.00,10.67,0.00,0.00
0,2381933,0.04,11.47,0.00,100.00
0,2166555,0.01,10.77,100.00,0.00
0,2409280,0.00,12.05,100.00,0.00
0,2215754,0.02,10.82,0.00,0.00
0,2381188,0.00,11.91,100.00,0.00
0,2414463,0.05,11.51,0.00,100.00
0,2146843,0.05,10.24,100.00,100.00
0,2299231,0.04,11.02,100.00,100.00
0,2613103,0.04,12.56,0.00,100.00
0,2179724,0.00,10.90,100.00,100.00
0,2596365,0.00,12.98,100.00,100.00
0,2141983,0.00,10.71,0.00,0.00
0,2333902,0.07,10.82,100.00,0.00
