User Selection,Task Size,Offloading Ratio,Delay,UAV Hover Location X,UAV Hover Location Y
2,2598955,0.31,1.50,100.00,0.00
0,2595703,0.25,1.63,0.00,0.00
0,2456509,0.30,1.44,0.00,0.00
0,2592316,0.34,1.43,92.23,0.00
0,2506434,0.79,2.33,51.01,100.00
1,2291726,0.06,1.79,100.00,0.00
1,2531161,0.35,1.38,100.00,0.00
0,2166355,0.94,2.41,100.00,0.00
0,2562574,0.14,1.84,100.00,33.45
1,2357533,0.82,1.81,100.00,0.00
0,2614250,0.31,1.50,69.96,100.00
2,2515343,0.56,1.32,0.00,0.00
1,2193692,0.64,1.31,100.00,100.00
1,2411508,0.68,1.56,0.00,100.00
0,2550246,0.36,1.35,0.00,0.00
2,2472436,0.25,1.55,0.00,100.00
1,2128522,0.23,1.37,100.00,0.00
0,2161063,0.17,1.49,100.00,100.00
2,2216907,0.47,1.27,0.00,100.00
2,2462996,0.02,2.02,0.00,0.00
1,2480701,0.61,1.41,100.00,0.00
1,2098574,0.54,1.07,100.00,0.00
0,2488897,0.54,1.57,0.00,100.00
2,2223193,0.35,1.20,0.00,0.00
2,2443854,0.98,2.25,0.00,0.00
0,2364283,0.61,1.37,0.00,0.00
1,2434311,0.19,1.63,0.00,0.00
0,2204163,0.79,2.17,100.00,0.00
0,2518695,0.15,1.79,0.00,100.00
2,2610046,0.97,2.85,14.41,0.00
0,2115727,0.49,1.25,100.00,0.00
0,2443902,0.36,1.30,100.00,100.00
1,2177148,0.77,2.10,100.00,100.00
1,2568726,0.10,1.94,100.00,0.00
2,2407071,0.99,3.05,0.00,0.00
2,2167861,0.79,1.62,100.00,100.00
0,2470136,0.12,1.82,100.00,100.00
2,2562876,0.96,2.31,100.00,100.00
1,2211646,0.91,1.90,0.00,27.10
0,2472914,0.22,1.60,73.56,0.00
0,2578742,0.48,1.42,15.08,0.00
2,2430089,0.89,2.05,43.26,100.00
0,2592757,0.58,1.77,100.00,100.00
1,2570416,0.36,1.37,0.00,0.00
2,2603171,0.49,1.54,100.00,0.00
0,2098845,0.39,1.06,100.00,100.00
1,2502197,0.44,1.38,98.43,100.00
2,2246066,0.68,1.85,0.00,0.00
0,2490069,0.12,1.83,100.00,0.00
2,2112961,0.78,1.57,81.10,0.00
1,2114649,0.74,1.84,100.00,100.00
2,2263226,0.79,2.12,100.00,100.00
2,2256217,0.64,1.72,0.00,0.00
1,2376919,0.86,1.90,0.00,37.29
1,2171673,0.00,1.81,100.00,100.00
2,2298828,0.66,1.43,100.00,92.75
0,2322299,0.46,1.22,100.00,0.00
0,2525120,0.90,2.78,100.00,32.82
0,2469798,0.61,1.41,100.00,0.00
1,2385998,0.23,1.53,100.00,0.00
2,2383869,0.42,1.19,100.00,0.00
0,2282583,0.64,1.38,100.00,0.00
2,2204143,0.04,1.77,68.95,100.00
0,2572884,0.47,1.14,100.00,100.00
0,2126551,0.43,1.01,0.00,100.00
0,2163260,0.00,1.80,0.00,0.00
1,2323223,0.14,1.66,100.00,87.10
2,2405205,0.49,1.35,36.00,100.00
2,2254771,0.38,1.16,0.00,100.00
2,2476465,0.76,1.76,100.00,100.00
0,2250180,0.89,2.46,100.00,0.00
2,2251838,0.38,1.17,100.00,100.00
2,2116639,0.58,1.16,100.00,100.00
2,2216379,0.05,1.75,100.00,100.00
2,2376573,0.99,2.21,0.00,68.66
0,2513299,0.29,1.49,0.00,100.00
2,2249090,0.86,2.25,0.00,0.00
0,2132136,0.56,1.36,0.00,100.00
1,2531854,0.91,2.74,100.00,0.00
1,2363494,0.99,2.76,100.00,100.00
1,2139066,0.03,1.73,100.00,100.00
1,2206111,0.00,1.84,0.00,4.53
2,2419811,0.34,1.33,100.00,0.00
0,2418460,0.61,1.79,0.00,100.00
1,2404910,0.19,1.62,0.00,100.00
3,2496719,0.36,1.32,100.00,0.00
0,2164067,0.18,1.48,100.00,0.00
0,2199157,0.42,1.07,0.00,0.00
1,2591971,0.50,1.59,100.00,2.75
2,2265702,0.41,1.12,100.00,0.00
1,2256351,0.65,1.37,0.00,100.00
1,2156110,1.00,2.03,0.00,39.52
2,2358877,0.61,1.66,0.00,100.00
1,2206829,0.71,1.88,0.00,0.00
1,2173529,0.06,1.71,0.00,100.00
1,2246212,0.72,1.96,100.00,100.00
2,2201872,0.25,1.37,0.00,100.00
2,2538447,0.14,1.82,0.00,100.00
0,2268585,0.19,1.54,0.00,0.00
0,2124395,0.52,1.04,0.00,100.00
0,2321729,0.89,1.95,0.00,0.00
1,2143795,0.33,1.19,100.00,100.00
0,2401870,0.59,1.33,0.00,0.00
0,2228973,0.65,1.36,100.00,0.00
2,2153077,0.00,1.79,0.00,100.00
3,2267629,0.24,1.43,100.00,80.91
2,2128202,0.88,1.76,100.00,80.91
1,2477950,0.75,1.75,100.00,100.00
1,2378540,0.24,1.50,100.00,100.00
0,2523627,1.00,2.39,100.00,0.00
0,2103856,0.99,2.43,100.00,100.00
0,2555430,1.00,2.42,0.00,100.00
0,2163373,0.99,2.60,0.00,100.00
0,2586257,0.97,3.05,0.00,100.00
0,2097718,0.98,1.94,0.00,100.00
0,2342054,0.97,2.75,0.00,100.00
0,2602963,1.00,3.15,0.00,100.00
0,2547057,1.00,3.07,0.00,100.00
0,2185717,1.00,2.06,0.00,100.00
0,2366355,1.00,2.23,100.00,100.00
0,2227382,1.00,2.11,0.00,100.00
0,2451767,1.00,2.31,0.00,0.00
0,2484126,1.00,2.80,0.00,100.00
0,2579398,0.97,2.98,0.00,100.00
0,2547692,1.00,2.40,0.00,100.00
0,2517101,1.00,3.01,0.00,100.00
0,2406692,1.00,2.87,100.00,100.00
0,2149184,0.96,1.95,0.00,100.00
2,2108853,0.92,1.83,0.00,0.00
0,2604010,1.00,2.44,0.00,100.00
0,2107587,1.00,1.98,0.00,0.00
0,2231053,1.00,2.08,0.00,100.00
0,2278662,0.90,2.44,0.00,100.00
0,2166197,0.92,1.89,100.00,0.00
0,2459697,1.00,2.31,0.00,100.00
0,2371756,0.96,2.15,100.00,100.00
0,2148488,0.98,2.59,0.00,100.00
0,2198169,0.97,2.53,0.00,0.00
0,2528214,0.92,2.17,12.86,0.00
0,2146846,0.98,2.38,100.00,100.00
0,2176350,1.00,2.06,100.00,0.00
0,2167119,1.00,2.04,100.00,0.00
0,2519928,1.00,3.01,0.00,100.00
0,2233105,0.98,2.05,100.00,0.00
0,2385151,1.00,2.87,100.00,0.00
0,2519106,0.92,2.19,0.00,100.00
0,2414293,0.96,2.73,0.00,100.00
0,2105248,1.00,1.99,0.00,100.00
0,2515955,0.91,2.16,0.00,100.00
0,2119252,0.99,2.57,0.00,0.00
0,2418115,1.00,3.02,100.00,100.00
0,2620710,1.00,2.45,0.00,100.00
0,2245261,1.00,2.12,0.00,21.06
0,2247741,0.98,2.72,0.00,0.00
0,2522472,0.96,2.29,0.00,100.00
0,2548062,1.00,2.41,100.00,100.00
0,2187330,1.00,2.04,0.00,100.00
0,2153019,0.95,2.50,0.00,0.00
2,2126982,0.98,2.39,0.00,100.00
0,2202224,1.00,2.08,0.00,100.00
0,2215373,0.96,2.01,0.00,100.00
0,2188813,0.99,2.05,0.00,100.00
0,2431983,1.00,2.97,0.00,0.00
0,2160791,1.00,2.75,100.00,0.00
0,2600907,0.93,2.85,0.00,100.00
0,2404294,1.00,2.27,0.00,100.00
0,2131765,0.92,1.86,100.00,0.00
0,2402619,0.94,2.64,0.00,100.00
0,2529605,1.00,3.07,0.00,100.00
0,2307966,0.95,2.07,0.00,100.00
0,2614072,1.00,2.47,100.00,100.00
0,2470175,0.99,2.77,100.00,100.00
0,2570389,0.99,2.39,0.00,100.00
0,2566398,1.00,2.42,68.68,0.00
0,2287599,1.00,2.15,100.00,0.00
0,2110861,0.98,1.95,0.00,0.00
0,2103015,0.97,1.92,0.00,100.00
0,2139058,1.00,2.01,0.00,100.00
0,2216634,0.97,2.55,0.00,100.00
0,2427207,1.00,2.90,0.00,0.00
0,2527500,1.00,2.39,100.00,0.00
0,2340665,1.00,2.72,100.00,100.00
0,2417422,0.93,2.12,100.00,0.00
0,2360014,1.00,2.73,0.00,100.00
0,2339870,1.00,2.21,100.00,100.00
0,2353391,0.99,2.68,0.00,100.00
0,2151203,0.93,1.88,0.00,100.00
0,2211442,1.00,2.68,0.00,100.00
0,2567379,0.94,2.93,0.00,100.00
0,2102638,0.99,2.52,0.00,100.00
0,2580052,1.00,2.43,85.52,100.00
0,2234126,1.00,2.55,100.00,100.00
0,2345128,1.00,2.83,100.00,100.00
0,2286093,0.98,2.62,0.00,100.00
0,2175397,0.93,2.50,100.00,100.00
0,2565983,1.00,3.02,100.00,0.00
0,2295668,1.00,2.60,0.00,100.00
0,2178082,1.00,2.06,100.00,0.00
0,2466293,1.00,2.80,0.00,100.00
0,2442405,1.00,3.05,0.00,100.00
0,2256582,0.90,2.54,0.00,100.00
0,2559498,0.98,3.15,0.00,100.00
0,2109335,0.97,1.95,0.00,100.00
0,2305063,0.94,2.05,0.00,100.00
0,2533836,1.00,2.40,100.00,100.00
0,2337533,0.91,2.01,0.00,100.00
0,2461146,1.00,3.07,0.00,100.00
0,2523871,1.00,3.17,0.00,0.00
3,2613343,0.91,2.82,0.00,100.00
0,2277040,1.00,2.86,0.00,100.00
0,2144976,1.00,2.03,0.00,100.00
3,2561454,0.97,2.33,0.00,100.00
0,2299433,1.00,2.18,0.00,100.00
0,2302161,0.98,2.82,0.00,100.00
0,2169189,1.00,2.05,0.00,100.00
0,2509200,1.00,3.10,0.00,100.00
0,2437581,1.00,2.31,0.00,100.00
0,2119632,0.99,1.98,0.00,100.00
0,2220386,1.00,2.72,0.00,100.00
0,2545934,1.00,2.41,100.00,0.00
0,2323862,0.89,1.95,0.00,100.00
0,2360534,0.96,2.14,100.00,100.00
0,2298111,1.00,2.16,0.00,100.00
0,2135135,1.00,2.02,0.00,100.00
3,2558965,1.00,2.40,0.00,100.00
0,2165983,1.00,2.64,0.00,100.00
0,2250959,1.00,2.72,0.00,100.00
0,2260697,1.00,2.74,0.00,100.00
0,2595612,1.00,2.45,0.00,0.00
0,2560320,0.93,2.80,0.00,100.00
0,2289250,1.00,2.16,0.00,100.00
0,2309050,0.87,1.88,0.00,0.00
0,2377794,0.98,2.71,100.00,0.00
0,2486806,1.00,2.88,0.00,0.00
0,2168480,0.96,2.40,0.00,100.00
0,2363122,0.99,2.20,0.00,100.00
0,2267812,1.00,2.70,100.00,100.00
2,2209316,0.97,2.70,0.00,0.00
0,2420016,0.93,2.11,100.00,0.00
0,2300263,1.00,2.61,100.00,100.00
0,2513185,0.97,2.96,0.00,100.00
0,2484133,1.00,2.36,100.00,0.00
0,2149205,0.97,2.37,0.00,100.00
0,2427177,0.99,3.02,0.00,100.00
0,2580386,1.00,3.24,100.00,0.00
0,2181430,1.00,2.04,0.00,100.00
0,2391019,0.96,2.17,0.00,100.00
0,2134504,1.00,2.67,0.00,100.00
0,2516625,0.83,1.99,0.00,100.00
0,2575183,0.86,2.81,0.00,100.00
0,2500103,0.93,2.21,0.00,100.00
0,2266597,1.00,2.87,0.00,100.00
0,2185270,0.99,2.05,0.00,100.00
0,2569495,0.96,3.10,0.00,100.00
0,2390027,1.00,2.26,0.00,100.00
0,2315062,1.00,2.19,0.00,100.00
2,2240331,1.00,2.11,0.00,0.00
0,2489300,0.97,2.84,0.00,100.00
0,2366573,0.93,2.07,100.00,100.00
0,2470443,1.00,2.92,100.00,100.00
0,2166835,1.00,2.04,0.00,100.00
0,2595741,0.98,2.40,100.00,100.00
0,2166427,0.92,2.35,0.00,100.00
0,2212216,1.00,2.09,0.00,100.00
0,2198007,0.96,1.99,0.00,100.00
0,2376258,0.95,2.78,67.90,100.00
0,2187383,0.98,2.54,100.00,100.00
0,2404754,0.99,2.24,0.00,100.00
0,2259100,1.00,2.14,0.00,100.00
0,2474506,0.97,2.26,0.00,100.00
0,2376349,1.00,2.95,0.00,100.00
0,2563085,0.99,3.15,0.00,0.00
0,2614189,1.00,3.13,0.00,0.00
0,2264306,1.00,2.13,0.00,100.00
0,2589022,1.00,3.20,100.00,100.00
0,2349814,1.00,2.21,0.00,100.00
