User Selection,Task Size,Offloading Ratio,Delay,UAV Hover Location X,UAV Hover Location Y
0,2129874,0.90,2.16,0.00,0.00
0,2179058,0.75,2.76,0.00,0.00
1,2557478,0.45,6.99,0.00,0.00
2,2269333,0.27,8.25,0.00,0.00
1,2613364,0.58,5.50,0.00,0.00
1,2480066,0.46,6.71,0.00,0.00
2,2097353,0.28,7.51,0.00,0.00
1,2138516,0.76,2.52,0.00,0.00
2,2485019,0.70,3.74,0.00,0.00
2,2352007,0.42,6.86,0.00,0.00
2,2401871,0.35,7.85,0.00,0.00
2,2486725,0.69,3.81,0.00,0.00
2,2375839,0.46,6.42,0.00,0.00
0,2619463,0.09,11.96,0.00,0.00
0,2273434,0.97,2.54,0.00,0.00
0,2558665,0.75,3.22,0.00,0.00
2,2103620,0.05,9.94,0.00,0.00
0,2419732,0.99,2.24,0.00,0.00
1,2538181,0.14,10.89,0.00,0.00
1,2467169,0.84,2.58,0.00,0.00
1,2201555,0.88,2.41,0.00,0.00
0,2270461,0.63,4.21,0.00,0.00
0,2239124,0.90,1.89,0.00,0.00
2,2185699,0.95,1.97,0.00,0.00
1,2310107,0.70,3.43,0.00,0.00
2,2413285,0.38,7.48,0.00,0.00
0,2368469,0.03,11.54,0.00,0.00
0,2195008,0.83,2.08,0.00,0.00
0,2519444,0.70,3.78,0.00,0.00
0,2445420,0.73,3.34,0.00,0.00
0,2473071,0.75,3.04,0.00,0.00
1,2317150,0.30,8.15,0.00,0.00
2,2280862,0.94,2.02,0.00,0.00
1,2287597,0.22,8.96,0.00,0.00
2,2484156,0.74,3.18,0.00,0.00
1,2152793,0.59,4.46,0.00,0.00
2,2409618,0.79,2.48,0.00,0.00
1,2476807,0.94,2.22,0.00,0.00
2,2280839,0.44,6.39,0.00,0.00
2,2277365,0.07,10.56,0.00,0.00
1,2470818,0.21,9.76,0.00,0.00
1,2569496,0.14,11.07,0.00,0.00
2,2576721,0.40,7.67,0.00,0.00
0,2376664,0.19,9.66,0.00,0.00
1,2450138,0.44,6.85,0.00,0.00
2,2214860,0.29,7.82,0.00,0.00
2,2185473,0.41,6.48,0.00,0.00
3,2220987,0.87,2.41,0.00,0.00
2,2435685,0.07,11.34,0.00,0.00
2,2354868,0.07,10.98,0.00,0.00
1,2476624,0.74,3.19,0.00,0.00
2,2406552,0.39,7.38,0.00,0.00
0,2592643,0.74,3.41,0.00,0.00
1,2376522,0.44,6.68,0.00,0.00
0,2272773,0.22,8.89,0.00,0.00
0,445118,0.41,1.31,0.00,0.00
1,2288855,0.61,4.49,0.00,0.00
2,2369263,0.75,2.97,0.00,0.00
0,2215061,0.92,2.48,0.00,0.00
0,2104368,0.24,7.95,0.00,0.00
2,2254915,0.54,5.18,0.00,0.00
0,2286491,0.51,5.56,0.00,0.00
0,2232259,0.36,7.14,0.00,0.00
0,2206856,0.76,2.69,0.00,0.00
1,2586349,0.00,12.93,0.00,0.00
2,2166579,0.41,6.41,0.00,0.00
1,2148094,0.30,7.55,0.00,0.00
1,2241887,0.23,8.61,0.00,0.00
1,2618053,0.14,11.30,0.00,0.00
2,2114119,0.44,5.88,0.00,0.00
2,2538101,0.16,10.71,0.00,0.00
1,2576157,0.96,2.34,0.00,0.00
2,2348823,0.23,9.01,0.00,0.00
1,2498776,0.12,11.01,0.00,0.00
1,2278979,0.61,4.47,0.00,0.00
0,2265978,0.02,11.15,0.00,0.00
0,2261600,0.62,4.27,0.00,0.00
2,2188045,0.68,3.48,0.00,0.00
2,2147809,0.50,5.39,0.00,0.00
2,2579462,0.12,11.33,0.00,0.00
1,2558436,0.55,5.69,0.00,0.00
1,2607556,0.24,9.91,0.00,0.00
1,2218173,0.16,9.34,0.00,0.00
0,2612248,0.60,5.16,0.00,0.00
1,2286110,0.94,2.55,0.00,0.00
1,2353922,0.88,2.45,0.00,0.00
0,2134719,0.33,7.15,0.00,0.00
1,2145419,0.87,1.76,0.00,0.00
1,2185293,0.41,6.42,0.00,0.00
0,2527354,0.41,7.44,0.00,0.00
1,2496360,0.83,2.43,0.00,0.00
0,2149214,0.55,4.79,0.00,0.00
1,2173769,0.92,2.33,0.00,0.00
0,2406991,0.79,2.51,0.00,0.00
3,2398984,1.00,2.84,0.00,0.00
2,2104782,0.74,2.75,0.00,0.00
2,2546776,0.16,10.64,0.00,0.00
0,2409681,0.55,5.41,0.00,0.00
1,2333313,0.45,6.43,0.00,0.00
0,2149007,0.45,5.95,0.00,0.00
2,2451016,0.08,11.23,0.00,0.00
1,91598,0.27,0.34,0.00,0.00
0,2570835,0.41,7.64,0.00,0.00
2,2591855,0.21,10.29,0.00,0.00
1,2454687,0.29,8.77,0.00,0.00
1,2580946,1.00,2.41,0.00,0.00
0,2188200,0.13,9.52,0.00,0.00
0,2163762,0.00,10.82,0.00,0.00
0,2370737,0.00,11.85,0.00,0.00
0,2306883,0.04,11.02,0.00,0.00
0,2133768,0.00,10.67,0.00,0.00
0,2134606,0.09,9.72,0.00,0.00
0,2243519,0.05,10.69,0.00,0.00
