User Selection,Task Size,Offloading Ratio,Delay,UAV Hover Location X,UAV Hover Location Y
1,2556832,0.64,4.58,0.00,0.00
0,2222086,0.01,11.04,0.00,0.00
2,2207940,0.29,7.83,0.00,0.00
2,2329173,0.46,6.30,0.00,0.00
2,2588977,0.83,2.76,0.00,0.00
2,2564676,0.05,12.13,0.00,0.00
1,2431093,0.79,2.60,0.00,0.00
1,2298137,0.47,6.15,0.00,0.00
1,2613789,0.00,13.05,0.00,0.00
2,2148611,0.18,8.78,0.00,0.00
2,2104764,0.39,6.37,0.00,0.00
1,2472396,0.26,9.10,0.00,0.00
0,2372885,0.12,10.42,0.00,0.00
1,2109770,0.07,9.81,0.00,0.00
1,2326343,0.46,6.26,0.00,0.00
0,2455044,0.04,11.72,0.00,0.00
1,2423799,0.90,2.05,0.00,0.00
2,2414624,0.04,11.64,0.00,0.00
0,2419391,0.03,11.77,0.00,0.00
0,2128208,0.80,2.17,0.00,0.00
1,2320859,0.72,3.26,0.00,0.00
0,2472609,0.46,6.68,0.00,0.00
0,2469237,0.51,6.09,0.00,0.00
2,2166490,0.63,3.97,0.00,0.00
0,2113649,0.61,4.11,0.00,0.00
0,2249138,0.17,9.28,0.00,0.00
1,2289599,0.17,9.45,0.00,0.00
3,2486396,0.87,2.64,0.00,0.00
0,2514846,0.14,10.79,0.00,0.00
2,2322754,0.10,10.49,0.00,0.00
0,2520033,0.76,3.04,0.00,0.00
2,2278561,0.94,2.01,0.00,0.00
2,2220867,0.99,2.49,0.00,0.00
0,2270168,0.37,7.15,0.00,0.00
2,2310531,0.17,9.62,0.00,0.00
2,2468311,0.04,11.87,0.00,0.00
0,2395208,0.81,2.33,0.00,0.00
1,2619460,0.16,11.00,0.00,0.00
0,2596404,0.39,7.94,0.00,0.00
0,2538258,0.12,11.20,0.00,0.00
0,2483703,0.38,7.67,0.00,0.00
2,2097468,0.67,3.44,0.00,0.00
2,2247028,0.70,3.34,0.00,0.00
0,2369649,0.17,9.87,0.00,0.00
2,2265729,0.70,3.41,0.00,0.00
0,2498277,0.47,6.58,0.00,0.00
1,2340350,0.63,4.27,0.00,0.00
2,2541895,0.86,2.51,0.00,0.00
