User Selection,Task Size,Offloading Ratio,Delay,UAV Hover Location X,UAV Hover Location Y
1,2615546,0.02,12.86,0.00,100.00
2,2579631,0.47,6.87,0.00,0.00
1,2235563,0.36,7.20,100.00,0.00
0,2217501,0.25,8.30,100.00,0.00
1,2190819,0.20,8.77,0.00,100.00
1,2136605,0.87,1.74,0.00,100.00
1,2402967,0.54,5.58,0.00,100.00
2,2167004,0.65,3.84,0.00,0.00
1,2610444,0.48,6.78,0.00,100.00
1,2529759,0.40,7.57,0.00,52.31
0,2097931,0.73,2.85,76.02,100.00
1,2478296,0.56,5.43,100.00,100.00
2,2472379,0.23,9.46,100.00,0.00
1,2463157,0.42,7.13,0.00,100.00
1,2281479,0.21,9.05,0.00,100.00
0,2181368,0.45,5.96,100.00,0.00
0,2485313,0.04,11.96,0.00,0.00
3,2282626,0.47,6.04,0.00,100.00
2,2504092,0.49,6.34,100.00,100.00
1,2417438,0.17,10.01,0.00,0.00
1,2172926,0.15,9.27,0.00,100.00
2,2532944,0.57,5.47,74.64,0.00
1,2180454,0.60,4.36,0.00,100.00
1,2523316,0.82,2.23,0.00,0.00
0,2460260,0.52,5.92,100.00,100.00
1,2174613,0.84,2.23,100.00,100.00
1,2329726,0.11,10.31,0.00,0.00
2,2514271,0.70,3.76,0.00,100.00
2,2098551,0.30,7.39,100.00,100.00
0,2132461,0.58,4.46,100.00,100.00
2,2350812,0.64,4.21,100.00,100.00
1,2566428,0.17,10.62,100.00,100.00
1,2332598,0.21,9.17,100.00,0.00
0,2321393,0.24,8.80,0.00,0.00
0,2461865,0.44,6.86,100.00,100.00
0,2426232,0.89,2.60,100.00,100.00
0,2557269,0.43,7.26,100.00,100.00
0,2353333,0.62,4.45,0.00,100.00
2,2144637,0.28,7.75,100.00,100.00
1,2115622,0.14,9.06,0.00,100.00
0,2111762,0.33,7.04,100.00,0.00
0,2205769,0.73,3.03,100.00,100.00
3,2498673,0.23,9.66,0.00,100.00
2,2109616,0.45,5.78,0.00,0.00
2,2498537,0.00,12.49,0.00,0.00
0,2449909,0.86,1.99,100.00,0.00
0,2298320,0.23,8.84,100.00,0.00
2,2210917,0.06,10.42,100.00,15.33
1,2392315,0.19,9.74,100.00,15.33
2,2529012,1.00,3.12,0.00,100.00
0,2203838,0.23,8.54,0.00,100.00
1,2342423,0.67,3.90,0.00,100.00
0,2601366,0.82,2.39,100.00,0.00
2,2601444,0.82,2.39,0.00,100.00
1,2476896,0.50,6.24,2.39,0.00
0,2232867,0.74,2.94,0.00,0.00
2,2277003,0.26,8.43,100.00,100.00
1,2132625,0.32,7.28,100.00,100.00
2,2166720,0.82,1.97,0.00,0.00
1,2611589,0.76,3.14,0.00,0.00
0,2554458,0.31,8.84,0.00,0.00
0,2500097,0.60,5.04,50.52,11.81
0,2325314,0.59,4.82,0.00,0.00
1,2368255,0.44,6.64,0.00,0.00
1,2365746,0.14,10.13,0.00,100.00
1,2139995,0.80,2.17,100.00,100.00
1,2176687,0.75,2.71,100.00,100.00
2,2378050,0.67,3.88,0.00,0.00
2,2207791,0.73,2.96,100.00,0.00
2,2452266,0.47,6.51,0.00,0.00
2,2463782,0.73,3.37,0.00,0.00
1,2560686,0.83,2.16,0.00,0.00
0,2172702,1.00,2.45,0.00,0.00
1,2199080,0.85,2.20,0.00,0.00
2,2564389,0.30,8.95,0.00,100.00
1,2357670,0.35,7.65,100.00,100.00
1,2383002,0.09,10.83,0.00,100.00
0,2375816,0.25,8.89,0.00,0.00
1,2280503,0.75,2.88,100.00,100.00
2,2293070,0.72,3.19,83.04,0.00
1,2609850,0.82,2.29,100.00,100.00
0,2325990,0.85,2.47,0.00,100.00
1,2209754,0.70,3.35,0.00,100.00
1,2133928,0.24,8.08,100.00,100.00
2,2333647,0.75,2.95,0.00,100.00
0,2590539,0.67,4.32,100.00,0.00
1,2119079,0.50,5.30,100.00,100.00
2,2612982,0.82,2.50,0.00,0.00
2,2613071,0.24,9.95,100.00,0.00
1,2151100,0.24,8.22,97.27,100.00
0,2557616,0.17,10.61,0.00,100.00
0,2490999,0.64,4.43,41.97,0.00
2,2615027,1.00,2.46,100.00,100.00
1,2111501,0.04,10.15,100.00,83.49
1,2174511,0.44,6.08,100.00,100.00
2,2132799,0.55,4.79,0.00,0.00
2,2402614,0.39,7.38,0.00,100.00
2,2540612,0.38,7.85,0.00,100.00
1,2434800,0.97,2.90,0.00,0.00
1,2246799,0.22,8.74,0.00,0.00
1,2473176,0.21,9.73,100.00,0.00
0,2187957,0.29,7.74,100.00,0.00
0,2440041,0.08,11.23,0.00,100.00
0,2346464,0.66,3.95,0.00,100.00
0,2120931,0.34,7.04,0.00,100.00
3,2237275,0.94,1.99,0.00,100.00
2,2317208,0.92,2.43,0.00,0.00
2,2602391,0.67,4.25,0.00,100.00
2,2350700,0.41,6.96,0.00,100.00
3,2196839,0.99,2.07,0.00,100.00
2,2301380,1.00,2.15,0.00,100.00
2,2099206,0.96,1.88,100.00,100.00
2,2463103,1.00,2.90,0.00,0.00
3,2160497,0.95,1.94,0.00,100.00
3,2114832,1.00,2.69,0.00,100.00
2,2517565,0.97,2.28,100.00,0.00
3,2354588,0.99,2.18,0.00,100.00
3,2241405,1.00,2.85,0.00,100.00
2,2380313,0.95,2.54,0.00,100.00
2,2258428,0.97,2.48,0.00,100.00
3,2602658,1.00,2.47,0.00,0.00
3,2325151,1.00,2.74,0.00,0.00
3,2509462,1.00,2.36,0.00,0.00
2,2218400,1.00,2.10,100.00,100.00
3,2392562,1.00,2.88,0.00,100.00
3,2264328,0.91,1.96,0.00,100.00
2,2290239,1.00,2.60,0.00,100.00
3,2557715,1.00,3.17,100.00,100.00
3,2276739,0.96,2.05,100.00,0.00
2,2363240,1.00,2.24,0.00,100.00
2,2567637,0.99,2.89,0.00,100.00
2,2155753,0.95,1.92,100.00,100.00
2,2174572,1.00,2.03,0.00,100.00
2,2324282,0.98,2.14,100.00,0.00
3,2231527,0.95,1.99,0.00,100.00
3,2557686,0.89,2.18,0.00,100.00
3,2520242,0.99,2.36,0.00,100.00
2,2620885,1.00,3.03,100.00,100.00
2,2219210,0.99,2.07,0.00,100.00
3,2377770,1.00,2.26,0.00,100.00
3,2543429,1.00,2.42,0.00,100.00
2,2467042,0.98,2.27,0.00,100.00
2,2483608,1.00,2.91,0.00,100.00
2,2529043,1.00,2.97,0.00,100.00
2,2130361,1.00,2.00,0.00,100.00
2,2482486,1.00,2.93,0.00,100.00
3,2178864,1.00,2.05,0.00,0.00
3,2541985,0.95,2.28,100.00,0.00
3,2583178,0.95,2.31,0.00,100.00
3,2395319,1.00,2.88,100.00,0.00
2,2397205,1.00,2.93,0.00,100.00
2,2585490,0.99,2.42,0.00,100.00
2,2451849,1.00,2.85,0.00,0.00
3,2188592,1.00,2.58,100.00,100.00
2,2331860,1.00,2.66,0.00,100.00
2,2468976,0.99,2.31,0.00,100.00
2,2136532,0.96,1.93,0.00,100.00
2,2248660,1.00,2.61,0.00,100.00
3,2539422,0.98,2.35,0.00,100.00
3,2306936,0.97,2.12,0.00,100.00
3,2135124,1.00,2.56,0.00,100.00
2,2157004,1.00,2.02,0.00,100.00
2,2537262,0.94,2.24,100.00,0.00
2,2544240,0.95,2.94,0.00,100.00
3,2590343,0.99,3.04,0.00,100.00
2,2496402,1.00,2.35,0.00,100.00
3,2101909,1.00,2.48,100.00,100.00
3,2108155,1.00,2.50,0.00,100.00
3,2427063,1.00,2.28,0.00,100.00
3,2461147,1.00,2.89,0.00,100.00
2,2214994,1.00,2.60,100.00,0.00
2,2300413,1.00,2.79,0.00,100.00
3,2138313,0.97,2.45,0.00,100.00
2,2370039,0.99,2.22,0.00,100.00
3,2463545,0.97,2.83,0.00,100.00
2,2293563,1.00,2.73,0.00,100.00
2,2537466,0.96,2.29,0.00,0.00
2,2241808,1.00,2.83,0.00,100.00
3,2306908,0.88,1.92,0.00,100.00
2,2476119,1.00,2.33,0.00,100.00
2,2501825,0.97,2.84,0.00,100.00
2,2140226,0.98,2.46,0.00,100.00
3,2344230,1.00,2.21,0.00,100.00
2,2536916,0.98,2.34,100.00,100.00
3,2523567,0.94,2.86,0.00,100.00
2,2288056,0.94,2.53,100.00,0.00
2,2541372,1.00,3.11,0.00,0.00
2,2306342,0.97,2.12,100.00,100.00
2,2220407,1.00,2.08,0.00,100.00
2,2563207,1.00,2.41,0.00,100.00
2,2287923,1.00,2.15,100.00,100.00
2,2507291,0.96,2.92,0.00,100.00
2,2525134,0.98,2.32,0.00,100.00
3,2353509,0.89,1.96,0.00,100.00
2,2271993,0.95,2.43,100.00,0.00
3,2508463,1.00,3.04,0.00,100.00
3,2190234,0.93,2.35,0.00,100.00
2,2426822,0.98,2.21,100.00,0.00
3,2201614,0.95,2.54,0.00,100.00
2,2477452,0.96,2.67,0.00,100.00
3,2126039,0.99,2.44,100.00,100.00
3,2512577,0.94,2.88,100.00,0.00
2,2528522,1.00,3.21,0.00,0.00
2,2305657,1.00,2.18,0.00,100.00
2,2252261,1.00,2.55,100.00,100.00
3,2305235,0.95,2.06,0.00,100.00
2,2438190,1.00,2.28,0.00,100.00
2,2234359,0.96,2.41,0.00,100.00
2,2327380,0.94,2.47,0.00,100.00
3,2338194,1.00,2.20,0.00,100.00
3,2371730,0.98,2.18,0.00,100.00
2,2424433,1.00,2.27,0.00,100.00
2,2116821,0.98,1.93,0.00,100.00
3,2544818,1.00,2.39,0.00,100.00
3,2277770,0.95,2.03,0.00,0.00
2,2101022,0.97,1.94,0.00,0.00
2,2274340,0.99,2.12,0.00,100.00
2,2358899,0.88,1.94,0.00,100.00
3,2415808,0.97,2.21,0.00,0.00
2,2449398,1.00,2.32,100.00,100.00
3,2420904,1.00,2.28,0.00,100.00
2,2527877,1.00,2.36,0.00,0.00
3,2522736,1.00,2.89,0.00,0.00
3,2469415,0.98,2.26,100.00,100.00
2,2185559,0.98,2.01,100.00,0.00
2,2485643,0.97,2.29,0.00,100.00
3,2323466,0.97,2.11,0.00,100.00
3,2439016,1.00,2.28,0.00,100.00
2,2313473,0.99,2.13,0.00,100.00
2,2165144,0.99,2.43,100.00,0.00
3,2121277,1.00,1.99,100.00,0.00
3,2440781,1.00,2.29,100.00,100.00
3,2405308,1.00,2.91,0.00,0.00
3,2485320,1.00,2.32,100.00,100.00
2,2472686,0.99,2.92,0.00,0.00
2,2156545,1.00,2.03,0.00,100.00
2,2300670,1.00,2.64,0.00,100.00
3,2507519,0.99,2.95,0.00,100.00
2,2156446,1.00,2.03,0.00,100.00
