,trackId,frame,xCenter,yCenter
0,0,0,131.38519,-34.7838
1,1,0,135.03907,-45.99449
2,2,0,113.34668,-65.72286
3,3,0,89.96715999999999,-73.02951
4,4,0,172.10544,-38.54658
5,5,0,176.66281999999998,-36.86264
207,0,30,129.8866,-44.80847
208,1,30,135.86701000000002,-48.71175
209,2,30,103.35410999999999,-72.57388
210,3,30,89.22628,-73.38655
211,4,30,172.10544,-38.54658
212,5,30,176.66281999999998,-36.86264
213,6,30,75.09241999999999,-97.54815
431,0,60,128.38794,-51.05475
432,1,60,135.99725,-48.96443
433,2,60,92.29773,-80.3729
434,3,60,89.21584,-73.35736
435,4,60,172.10544,-38.54658
436,5,60,176.66281999999998,-36.86264
437,6,60,89.56378000000001,-89.65635
438,7,60,131.46362,-34.1061
671,0,90,126.68128999999999,-55.280640000000005
672,1,90,136.00038999999998,-48.96112
673,2,90,79.67733,-88.9965
674,3,90,89.22121,-73.3722
675,4,90,172.10544,-38.54658
676,5,90,176.66281999999998,-36.86264
677,6,90,103.69424000000001,-82.20844
678,7,90,130.04996,-42.70793
911,0,120,122.59818,-60.64744
912,1,120,136.0,-48.96197
913,2,120,65.34688,-98.47865
914,3,120,89.2174,-73.34527
915,4,120,172.10544,-38.54658
916,5,120,176.66281999999998,-36.86264
917,6,120,115.74695,-76.00804000000001
918,7,120,128.78371,-48.14288
1131,0,150,115.47898,-66.82683
1132,1,150,135.99771,-48.96573
1133,3,150,89.20059,-73.3441
1134,4,150,172.10544,-38.54658
1135,5,150,176.66281999999998,-36.86264
1136,6,150,124.57121000000001,-71.09875
1137,7,150,127.82959,-50.954370000000004
1343,0,180,105.35385,-73.76548000000001
1344,1,180,135.99856,-48.96304
1345,3,180,89.22166999999999,-73.37491
1346,4,180,172.10544,-38.54658
1347,5,180,176.66281999999998,-36.86264
1348,6,180,130.2662,-67.28001
1349,7,180,127.35604,-52.19831
1350,8,180,176.09884,-42.43821
1583,0,210,93.44243,-81.35653
1584,1,210,135.99871000000002,-48.95632
1585,3,210,89.19256,-73.31713
1586,4,210,172.10544,-38.54658
1587,5,210,176.66281999999998,-36.86264
1588,6,210,134.36083,-64.31473000000001
1589,7,210,126.9928,-53.00552
1590,8,210,160.75726,-48.341359999999995
1842,0,240,80.07282,-89.68974
1843,1,240,136.00113000000002,-48.9676
1844,3,240,89.23663,-73.39260999999999
1845,4,240,172.10544,-38.54658
1846,5,240,176.66281999999998,-36.86264
1847,6,240,137.7614,-62.119040000000005
1848,7,240,126.63883999999999,-53.78859
1849,8,240,144.76786,-54.75785
1850,9,240,166.8977,-45.06765
2124,0,270,64.81687,-99.15345
2125,1,270,135.9991,-48.95756
2126,3,270,89.24404,-73.39126
2127,4,270,172.10544,-38.54658
2128,5,270,176.66281999999998,-36.86264
2129,6,270,140.15538,-60.70579
2130,7,270,126.39607,-54.32123000000001
2131,8,270,129.14981,-61.40684
2132,9,270,150.49211,-51.506879999999995
2133,10,270,170.2637,-43.70203
2402,1,300,136.00757,-48.976440000000004
2403,3,300,89.23831,-73.39738
2404,4,300,172.10544,-38.54658
2405,5,300,176.66281999999998,-36.86264
2406,6,300,142.46103,-59.572540000000004
2407,7,300,126.31438999999999,-54.48696999999999
2408,8,300,113.89517,-68.4092
2409,9,300,133.79266,-58.43609
2410,10,300,154.12832,-50.21083
2672,1,330,136.30581,-49.54437
2673,3,330,89.23818,-73.399
2674,4,330,172.10544,-38.54658
2675,5,330,176.66281999999998,-36.86264
2676,6,330,145.92833000000002,-57.063
2677,7,330,126.13396000000002,-54.82233000000001
2678,8,330,99.00788,-75.98286
2679,9,330,116.89213000000001,-65.61048000000001
2680,10,330,137.76487,-57.46475
2942,1,360,138.35841000000002,-52.077420000000004
2943,3,360,89.21972,-73.39329000000001
2944,4,360,172.10544,-38.54658
2945,5,360,176.66281999999998,-36.86264
2946,6,360,149.29495,-51.07884
2947,7,360,124.87133999999999,-56.874359999999996
2948,8,360,84.46075,-83.95096
2949,9,360,99.31948,-73.48845
2950,10,360,120.5918,-65.58032
3212,1,390,143.07121,-55.0346
3213,3,390,89.23366999999999,-73.41368
3214,4,390,172.10544,-38.54658
3215,5,390,176.66281999999998,-36.86264
3216,6,390,149.69929,-42.69608
3217,7,390,120.96423999999999,-60.600069999999995
3218,8,390,70.06451,-92.14089
3219,9,390,81.76309,-82.28922
3220,10,390,103.0066,-74.20598000000001
3476,1,420,148.67332,-56.69109
3477,3,420,89.23971,-73.40934
3478,4,420,172.10544,-38.54658
3479,5,420,176.66281999999998,-36.86264
3480,6,420,148.07523,-31.938879999999997
3481,7,420,115.13718999999999,-64.39126
3482,9,420,65.22677,-91.63122
3483,10,420,85.23109000000001,-83.11446
3702,1,450,156.02899,-56.79296
3703,3,450,89.23036,-73.40048
3704,4,450,172.10544,-38.54658
3705,5,450,176.66281999999998,-36.86264
3706,6,450,146.63478999999998,-19.487479999999998
3707,7,450,106.75318999999999,-68.67949
3708,10,450,67.46412,-91.90097
3877,1,480,165.03675,-55.10725
3878,3,480,89.23595,-73.40938
3879,4,480,172.10544,-38.54658
3880,5,480,176.66281999999998,-36.86264
3881,7,480,96.70382,-73.82998
4037,1,510,174.83392,-51.67002
4038,3,510,89.24155,-73.42281
4039,4,510,172.10544,-38.54658
4040,5,510,176.66281999999998,-36.86264
4041,7,510,85.68044,-79.53484
4042,11,510,171.06982,-44.08204
4204,3,540,89.23477,-73.41577
4205,4,540,172.10544,-38.54658
4206,5,540,176.66281999999998,-36.86264
4207,7,540,73.12791,-86.28256999999999
4208,11,540,154.05501999999998,-50.94784
4354,3,570,89.23881,-73.4165
4355,4,570,172.10544,-38.54658
4356,5,570,176.66281999999998,-36.86264
4357,7,570,59.45089,-94.33726999999999
4358,11,570,137.09007,-58.22661
4507,3,600,89.23406999999999,-73.41749
4508,4,600,172.10544,-38.54658
4509,5,600,176.66281999999998,-36.86264
4510,11,600,120.44288999999999,-65.76886999999999
4511,12,600,131.0158,-38.50959
4657,3,630,89.23031,-73.41773
4658,4,630,172.10544,-38.54658
4659,5,630,176.66281999999998,-36.86264
4660,11,630,104.30864,-73.57387
4661,12,630,129.41188,-47.170390000000005
4807,3,660,89.23475,-73.41794
4808,4,660,172.10544,-38.54658
4809,5,660,176.66281999999998,-36.86264
4810,11,660,88.67992,-81.64796
4811,12,660,125.29021000000002,-55.41305
5006,3,690,89.23109000000001,-73.42503
5007,4,690,172.10544,-38.54658
5008,5,690,176.66281999999998,-36.86264
5009,11,690,73.47004,-90.07739000000001
5010,12,690,116.91836,-62.93577
5011,13,690,78.91901,-95.91982
5012,14,690,81.88082,-98.05362
5216,3,720,89.23266,-73.42613
5217,4,720,172.10544,-38.54658
5218,5,720,176.66281999999998,-36.86264
5219,12,720,105.24649,-69.62215
5220,13,720,93.65934,-87.81787
5221,14,720,104.43855,-85.79737
5397,3,750,89.23451999999999,-73.43353
5398,4,750,172.10544,-38.54658
5399,5,750,176.66281999999998,-36.86264
5400,12,750,91.66084000000001,-76.88427
5401,13,750,107.25278999999999,-80.73021999999999
5402,14,750,127.72278,-73.8134
5403,15,750,64.15965,-107.81188999999999
5607,3,780,89.22209000000001,-73.42745
5608,4,780,172.10544,-38.54658
5609,5,780,176.66281999999998,-36.86264
5610,12,780,76.17735,-85.14939
5611,13,780,119.31227,-74.65859
5612,14,780,151.94976,-62.426559999999995
5613,15,780,83.28137,-96.98697
5817,3,810,89.22279,-73.40498000000001
5818,4,810,172.10544,-38.54658
5819,5,810,176.66281999999998,-36.86264
5820,12,810,59.308530000000005,-94.67605
5821,13,810,129.32966000000002,-68.6101
5822,14,810,176.37705,-51.670840000000005
5823,15,810,103.01448,-86.46115
5976,3,840,89.22872,-73.42194
5977,4,840,172.10544,-38.54658
5978,5,840,176.66281999999998,-36.86264
5979,13,840,137.06106,-62.43635
5980,15,840,122.55908000000001,-76.55295
6126,3,870,89.2274,-73.42361
6127,4,870,172.10544,-38.54658
6128,5,870,176.66281999999998,-36.86264
6129,13,870,142.72137,-55.08218000000001
6130,15,870,142.22785,-67.23501
6276,3,900,89.2181,-73.42543
6277,4,900,172.10544,-38.54658
6278,5,900,176.66281999999998,-36.86264
6279,13,900,146.34241,-46.54198
6280,15,900,162.20866,-58.224180000000004
6415,3,930,89.22700999999999,-73.43236999999999
6416,4,930,172.10544,-38.54658
6417,5,930,176.66281999999998,-36.86264
6418,13,930,147.69813,-37.06386
6557,3,960,89.22065,-73.41669
6558,4,960,172.10544,-38.54658
6559,5,960,176.66281999999998,-36.86264
